FVG,04,104.642166
FVG,03,65.36118
FVG,01,26.73552
FVG,02,37.580452
FVG,05,168.51802
PIE,03,62.608444
PIE,04,113.86129
PIE,05,144.98187
PIE,02,34.649605
PIE,01,26.575888
VDA,02,36.30612
VDA,01,30.380953
VDA,03,48.202763
VDA,04,105.83333
VDA,05,131.04286
TOS,01,18.598326
TOS,05,134.2641
TOS,02,30.693851
TOS,03,57.34088
TOS,04,97.041664
SAR,03,55.073883
SAR,04,96.653404
SAR,01,14.358654
SAR,02,17.769585
SAR,05,135.67276
VEN,04,121.93492
VEN,03,88.43103
VEN,01,26.450537
VEN,05,175.87714
VEN,02,27.784353
CAL,05,148.11351
CAL,01,13.047749
CAL,02,18.86905
CAL,03,49.777973
CAL,04,83.51171
CAM,02,142.81482
CAM,03,275.64218
CAM,04,531.90186
CAM,01,104.24672
CAM,05,974.33453
SIC,02,32.886906
SIC,01,28.545439
SIC,03,79.1795
SIC,04,113.835304
SIC,05,200.43102
MAR,05,197.69656
MAR,04,162.5839
MAR,01,24.756323
MAR,03,92.597885
MAR,02,35.322662
MOL,05,258.7926
MOL,03,156.7706
MOL,04,194.41481
MOL,01,42.26923
MOL,02,51.600822
BAS,05,148.23871
BAS,01,17.847311
BAS,04,94.629036
BAS,03,54.867844
BAS,02,32.170506
UMB,03,59.488052
UMB,02,18.084877
UMB,01,13.846475
UMB,05,132.75124
UMB,04,99.091354
LAZ,04,158.61227
LAZ,01,33.469337
LAZ,02,46.994114
LAZ,03,111.65545
LAZ,05,255.85257
PAB,01,24.658976
PAB,02,33.557198
PAB,05,106.669235
PAB,04,72.38461
PAB,03,38.292805
LOM,02,115.61441
LOM,01,85.5041
LOM,05,722.87823
LOM,03,260.69382
LOM,04,492.3528
LIG,04,68.12378
LIG,02,14.415606
LIG,01,11.67331
LIG,03,36.608177
LIG,05,68.26985
EMR,01,41.961147
EMR,05,202.45457
EMR,02,42.77821
EMR,04,160.40042
EMR,03,104.49086
PAT,05,236.00417
PAT,02,54.31713
PAT,04,177.61853
PAT,03,109.42137
PAT,01,36.955647
PUG,01,5.527104
PUG,04,36.432858
PUG,05,54.10249
PUG,03,18.235039
PUG,02,8.797411
ABR,03,79.70189
ABR,04,124.11494
ABR,02,34.853127
ABR,01,17.156897
ABR,05,193.71263
