algoritmo::k::area,costo,wssse,percentuale_vaccinati,k_predetto
KMeansCustom::2::FVG,0.007954420872908256,0.007954420872908256,0.6328885099766174,1
KMeansCustom::2::PIE,0.007954420872908256,0.007954420872908256,0.6071899110972782,0
KMeansCustom::2::VDA,0.007954420872908256,0.007954420872908256,0.6148109286089027,0
KMeansCustom::2::TOS,0.007954420872908256,0.007954420872908256,0.6003560745439414,0
KMeansCustom::2::VEN,0.007954420872908256,0.007954420872908256,0.5960684214767252,0
KMeansCustom::2::CAL,0.007954420872908256,0.007954420872908256,0.5803700003408374,0
KMeansCustom::2::CAM,0.007954420872908256,0.007954420872908256,0.6048702066408099,0
KMeansCustom::2::SIC,0.007954420872908256,0.007954420872908256,0.5498337490983037,0
KMeansCustom::2::MAR,0.007954420872908256,0.007954420872908256,0.620298573470467,0
KMeansCustom::2::MOL,0.007954420872908256,0.007954420872908256,0.6610689030743861,1
KMeansCustom::2::UMB,0.007954420872908256,0.007954420872908256,0.6244726957860749,0
KMeansCustom::2::PAB,0.007954420872908256,0.007954420872908256,0.6147812971342383,0
KMeansCustom::2::LIG,0.007954420872908256,0.007954420872908256,0.6525889104884406,1
KMeansCustom::2::PAT,0.007954420872908256,0.007954420872908256,0.5625641355129464,0
KMeansCustom::2::SAR,0.007954420872908256,0.007954420872908256,0.5846248181576437,0
KMeansCustom::2::BAS,0.007954420872908256,0.007954420872908256,0.6179692793186006,0
KMeansCustom::2::LAZ,0.007954420872908256,0.007954420872908256,0.6076343222166986,0
KMeansCustom::2::LOM,0.007954420872908256,0.007954420872908256,0.6253450389044157,0
KMeansCustom::2::EMR,0.007954420872908256,0.007954420872908256,0.609860559404474,0
KMeansCustom::2::PUG,0.007954420872908256,0.007954420872908256,0.6209724591544898,0
KMeansCustom::3::FVG,0.002213041919344839,0.002213041919344839,0.6328885099766174,0
KMeansCustom::3::PIE,0.002213041919344839,0.002213041919344839,0.6071899110972782,0
KMeansCustom::3::VDA,0.002213041919344839,0.002213041919344839,0.6148109286089027,0
KMeansCustom::3::TOS,0.002213041919344839,0.002213041919344839,0.6003560745439414,0
KMeansCustom::3::VEN,0.002213041919344839,0.002213041919344839,0.5960684214767252,0
KMeansCustom::3::CAL,0.002213041919344839,0.002213041919344839,0.5803700003408374,1
KMeansCustom::3::CAM,0.002213041919344839,0.002213041919344839,0.6048702066408099,0
KMeansCustom::3::SIC,0.002213041919344839,0.002213041919344839,0.5498337490983037,1
KMeansCustom::3::MAR,0.002213041919344839,0.002213041919344839,0.620298573470467,0
KMeansCustom::3::MOL,0.002213041919344839,0.002213041919344839,0.6610689030743861,2
KMeansCustom::3::UMB,0.002213041919344839,0.002213041919344839,0.6244726957860749,0
KMeansCustom::3::PAB,0.002213041919344839,0.002213041919344839,0.6147812971342383,0
KMeansCustom::3::LIG,0.002213041919344839,0.002213041919344839,0.6525889104884406,2
KMeansCustom::3::PAT,0.002213041919344839,0.002213041919344839,0.5625641355129464,1
KMeansCustom::3::SAR,0.002213041919344839,0.002213041919344839,0.5846248181576437,1
KMeansCustom::3::BAS,0.002213041919344839,0.002213041919344839,0.6179692793186006,0
KMeansCustom::3::LAZ,0.002213041919344839,0.002213041919344839,0.6076343222166986,0
KMeansCustom::3::LOM,0.002213041919344839,0.002213041919344839,0.6253450389044157,0
KMeansCustom::3::EMR,0.002213041919344839,0.002213041919344839,0.609860559404474,0
KMeansCustom::3::PUG,0.002213041919344839,0.002213041919344839,0.6209724591544898,0
KMeansCustom::4::FVG,0.0011787806097392334,0.0011787806097392334,0.6328885099766174,0
KMeansCustom::4::PIE,0.0011787806097392334,0.0011787806097392334,0.6071899110972782,0
KMeansCustom::4::VDA,0.0011787806097392334,0.0011787806097392334,0.6148109286089027,0
KMeansCustom::4::TOS,0.0011787806097392334,0.0011787806097392334,0.6003560745439414,3
KMeansCustom::4::VEN,0.0011787806097392334,0.0011787806097392334,0.5960684214767252,3
KMeansCustom::4::CAL,0.0011787806097392334,0.0011787806097392334,0.5803700003408374,3
KMeansCustom::4::CAM,0.0011787806097392334,0.0011787806097392334,0.6048702066408099,0
KMeansCustom::4::SIC,0.0011787806097392334,0.0011787806097392334,0.5498337490983037,1
KMeansCustom::4::MAR,0.0011787806097392334,0.0011787806097392334,0.620298573470467,0
KMeansCustom::4::MOL,0.0011787806097392334,0.0011787806097392334,0.6610689030743861,2
KMeansCustom::4::UMB,0.0011787806097392334,0.0011787806097392334,0.6244726957860749,0
KMeansCustom::4::PAB,0.0011787806097392334,0.0011787806097392334,0.6147812971342383,0
KMeansCustom::4::LIG,0.0011787806097392334,0.0011787806097392334,0.6525889104884406,2
KMeansCustom::4::PAT,0.0011787806097392334,0.0011787806097392334,0.5625641355129464,1
KMeansCustom::4::SAR,0.0011787806097392334,0.0011787806097392334,0.5846248181576437,3
KMeansCustom::4::BAS,0.0011787806097392334,0.0011787806097392334,0.6179692793186006,0
KMeansCustom::4::LAZ,0.0011787806097392334,0.0011787806097392334,0.6076343222166986,0
KMeansCustom::4::LOM,0.0011787806097392334,0.0011787806097392334,0.6253450389044157,0
KMeansCustom::4::EMR,0.0011787806097392334,0.0011787806097392334,0.609860559404474,0
KMeansCustom::4::PUG,0.0011787806097392334,0.0011787806097392334,0.6209724591544898,0
KMeansCustom::5::FVG,0.001195990507640404,0.001195990507640404,0.6328885099766174,2
KMeansCustom::5::PIE,0.001195990507640404,0.001195990507640404,0.6071899110972782,3
KMeansCustom::5::VDA,0.001195990507640404,0.001195990507640404,0.6148109286089027,3
