3::12-19::PUG,6
3::12-19::TOS,6
3::12-19::SIC,6
2::90+::LOM,316
2::90+::PIE,295
2::90+::EMR,272
2::90+::VEN,208
2::90+::TOS,168
2::80-89::LOM,304
2::80-89::PIE,285
2::80-89::LAZ,257
2::80-89::PAB,245
2::80-89::EMR,244
2::70-79::LOM,130
2::70-79::PIE,123
2::70-79::EMR,96
2::70-79::LAZ,94
2::70-79::VEN,80
2::60-69::LOM,726
2::60-69::LAZ,521
2::60-69::CAM,492
2::60-69::EMR,471
2::60-69::SIC,469
2::50-59::LOM,2008
2::50-59::EMR,1111
2::50-59::VEN,1097
2::50-59::PIE,1069
2::50-59::LAZ,944
2::40-49::LOM,1432
2::40-49::EMR,869
2::40-49::LAZ,781
2::40-49::VEN,745
2::40-49::PIE,739
2::30-39::LOM,1000
2::30-39::EMR,649
2::30-39::LAZ,616
2::30-39::CAM,583
2::30-39::PIE,511
2::20-29::LOM,717
2::20-29::EMR,471
2::20-29::LAZ,443
2::20-29::PIE,390
2::20-29::TOS,383
2::12-19::LAZ,8
2::12-19::EMR,5
2::12-19::LOM,5
2::12-19::PAB,3
2::12-19::SIC,3
